minutely,show_id,rating,director,duration,weighted_average_vote,total_votes,description,type,release_year,imdb_title_id,month_added,original_title,country,date_added,listed_in,title,season_duration,minute_duration,cast,year_added,seasonly
1,s2,TV-MA,Jorge Michel Grau,93 min,6.0,536,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",Movie,2016,tt5979312,December,7:19,Mexico,2016-12-23 00:00:00,"Dramas, International Movies",7:19,0,93,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",2016,0
1,s3,R,Gilbert Chan,78 min,4.6,802,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",Movie,2011,tt2100376,December,23:59,Singapore,2018-12-20 00:00:00,"Horror Movies, International Movies",23:59,0,78,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",2018,0
1,s4,PG-13,Shane Acker,80 min,7.1,131029,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",Movie,2009,tt0472033,November,9,United States,2017-11-16 00:00:00,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",9,0,80,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",2017,0
1,s5,PG-13,Robert Luketic,123 min,6.8,225698,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,Movie,2008,tt0478087,January,21,United States,2020-01-01 00:00:00,Dramas,21,0,123,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",2020,0
1,s7,TV-MA,Yasir Al Yasiri,95 min,6.8,3646,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",Movie,2019,tt7867670,June,122,Egypt,2020-06-01 00:00:00,"Horror Movies, International Movies",122,0,95,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",2020,0
1,s9,TV-14,Shravan Kumar,118 min,5.3,368,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",Movie,2019,tt9390026,April,706,India,2019-04-01 00:00:00,"Horror Movies, International Movies",706,0,118,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",2019,0
1,s10,TV-MA,Vikram Bhatt,143 min,6.4,2863,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,Movie,2008,tt1301698,December,1920,India,2017-12-15 00:00:00,"Horror Movies, International Movies, Thrillers",1920,0,143,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",2017,0
1,s11,TV-MA,Zak Hilditch,103 min,6.3,49788,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",Movie,2017,tt6214928,October,1922,United States,2017-10-20 00:00:00,"Dramas, Thrillers",1922,0,103,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",2017,0
1,s15,R,John Suits,91 min,4.6,3098,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",Movie,2019,tt9465600,March,3022,United States,2020-03-19 00:00:00,"Independent Movies, Sci-Fi & Fantasy, Thrillers",3022,0,91,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",2020,0
1,s35,TV-14,Michael Kennedy,105 min,5.0,239,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,Movie,2018,tt5646082,April,#Roxy,Canada,2019-04-10 00:00:00,"Comedies, Romantic Movies",#Roxy,0,105,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",2019,0
